[07-May-2022 10:27:42 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:43 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:44 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:53:21 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 11:28:22 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 11:32:11 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result_array() on boolean in /home/sispoc5/public_html/application/controllers/ajax/Hojas_rutas.php on line 849
[09-May-2022 08:15:11 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 08:26:23 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 08:26:24 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 09:37:58 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 09:52:28 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 10:15:29 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result_array() on boolean in /home/sispoc5/public_html/application/controllers/ajax/Hojas_rutas.php on line 849
[09-May-2022 11:08:20 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/application/models/Codegen_model.php on line 24
[09-May-2022 11:16:42 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[09-May-2022 11:18:26 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[09-May-2022 11:43:28 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
